model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version
sentence-transformers/stsb-xlm-r-multilingual,2.93,278043648.0,250002.0,512,15039.9,🔍,✓,✗,52.16 ± 0.99 / 66.79 ± 0.98@@52.16068583263041,80.08 ± 1.46 / 75.93 ± 1.64@@80.08453989013444,74.59 ± 1.98 / 70.26 ± 2.24@@74.59359747937843,36.30 ± 6.44 / 65.52 ± 3.06@@36.29886256725256,14.21 ± 6.44 / 52.78 ± 5.69@@14.21344309305001,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
BSC-LT/salamandra-7b-instruct (few-shot),2.94,7768117248.0,256000.0,8192,3958.96,📝,✓,✗,33.75 ± 1.43 / 35.69 ± 1.24@@33.748898378233804,53.17 ± 1.72 / 39.19 ± 2.37@@53.174084753956585,52.47 ± 1.16 / 40.02 ± 2.28@@52.47173369507867,16.18 ± 2.22 / 47.74 ± 2.93@@16.176874692982842,13.00 ± 1.70 / 43.46 ± 1.99@@13.003564435644199,71.06 ± 1.41 / 45.52 ± 1.91@@71.06115322591566,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
google/gemma-2-2b-it (few-shot),2.95,2614341888.0,256000.0,8193,5373.87,📝,✓,✗,46.84 ± 2.20 / 63.22 ± 1.89@@46.843706965190876,35.56 ± 1.33 / 28.84 ± 2.19@@35.56426516146933,37.70 ± 3.04 / 30.22 ± 2.39@@37.70386365030344,17.15 ± 2.01 / 55.59 ± 2.04@@17.146327825362178,14.38 ± 1.96 / 54.95 ± 1.73@@14.381173995331345,63.79 ± 1.50 / 29.75 ± 1.52@@63.786065498501614,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
google-bert/bert-base-multilingual-cased,2.95,178566653.0,119547.0,512,43627.33,🔍,✓,✗,31.44 ± 4.59 / 45.01 ± 3.20@@31.436384443563725,85.09 ± 0.48 / 86.16 ± 0.38@@85.09304774034119,81.14 ± 0.59 / 82.71 ± 0.40@@81.14231646325294,18.29 ± 6.20 / 56.19 ± 3.90@@18.28511083990688,15.36 ± 5.60 / 55.47 ± 3.87@@15.360785275832217,37.08 ± 3.31 / 24.48 ± 2.57@@37.078187966556825,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"merge-crew/da-sv-ties (few-shot, val)",2.95,7241732096.0,32000.0,4096,1437.73,🧠,✓,✓,36.31 ± 2.06 / 37.59 ± 1.71@@36.31476995146317,48.93 ± 3.56 / 40.34 ± 3.91@@48.92933855132521,55.77 ± 3.25 / 44.40 ± 3.65@@55.7690529494795,21.36 ± 3.86 / 58.28 ± 2.50@@21.35951716537215,8.16 ± 5.58 / 52.05 ± 2.96@@8.159634541312435,66.18 ± 4.68 / 45.13 ± 5.18@@66.183340431336,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
CohereForAI/aya-23-8B (few-shot),2.96,8028033024.0,256000.0,8192,2706.96,🧠,✗,✗,35.73 ± 1.26 / 50.42 ± 1.67@@35.726428884889046,60.94 ± 2.30 / 53.33 ± 3.53@@60.942386156408126,59.61 ± 1.37 / 50.84 ± 3.99@@59.61458816835595,6.18 ± 1.69 / 35.40 ± 1.06@@6.17606861135611,4.00 ± 1.01 / 36.17 ± 0.94@@3.996088943676025,71.95 ± 1.63 / 46.52 ± 2.15@@71.9517917578863,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
neph1/bellman-7b-mistral-instruct-v0.2 (few-shot),2.96,7241732096.0,32000.0,32768,2517.83,📝,✗,✗,38.81 ± 2.67 / 56.39 ± 3.13@@38.81163624851528,57.01 ± 1.93 / 44.65 ± 2.87@@57.008938186124055,56.77 ± 0.98 / 41.67 ± 3.53@@56.76858985181963,14.16 ± 2.24 / 54.43 ± 2.61@@14.155767322796473,9.29 ± 2.65 / 50.59 ± 3.99@@9.294719609793988,59.21 ± 2.11 / 32.75 ± 1.68@@59.206982077173976,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.4.0@@120400
AI-Sweden-Models/Llama-3-8B-instruct (few-shot),2.97,8030261248.0,128256.0,8192,1472.36,📝,✗,✗,35.30 ± 0.64 / 38.72 ± 0.50@@35.30490523661698,81.96 ± 1.06 / 76.25 ± 1.32@@81.95742243782283,78.42 ± 1.01 / 75.40 ± 0.97@@78.41817589481063,12.11 ± 2.22 / 36.70 ± 1.09@@12.113418463981803,5.94 ± 1.85 / 34.64 ± 0.60@@5.936305977514979,43.62 ± 0.82 / 22.15 ± 0.60@@43.61584829904584,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
flax-community/nordic-roberta-wiki,2.97,124645632.0,50265.0,512,16226.52,🔍,✓,✗,36.27 ± 1.57 / 50.95 ± 1.70@@36.265391698323654,85.42 ± 0.61 / 82.31 ± 0.65@@85.4221677381639,78.92 ± 1.42 / 74.86 ± 1.50@@78.92049915379094,48.07 ± 5.64 / 72.00 ± 4.07@@48.07345339501098,29.81 ± 3.52 / 64.03 ± 2.35@@29.81314597637626,1.08 ± 0.99 / 0.44 ± 0.41@@1.0820327436594197,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
Geotrend/bert-base-en-no-cased,2.97,111439872.0,33071.0,512,46698.42,🔍,✓,✗,32.79 ± 0.80 / 45.18 ± 1.43@@32.7863413182777,85.23 ± 0.44 / 86.26 ± 0.29@@85.23181511163571,81.04 ± 0.74 / 82.75 ± 0.49@@81.04036608165801,16.44 ± 5.93 / 55.51 ± 3.65@@16.44034441692018,14.52 ± 5.36 / 55.01 ± 4.70@@14.523497512604644,37.19 ± 2.93 / 24.44 ± 2.15@@37.18510878527519,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
google/gemma-7b (few-shot),2.97,8537680896.0,256000.0,8192,1298.32,🧠,✓,✗,32.72 ± 1.12 / 36.80 ± 0.93@@32.71981530654485,43.14 ± 2.45 / 37.92 ± 3.28@@43.13726458398578,44.63 ± 2.93 / 36.46 ± 2.39@@44.626236642094625,22.52 ± 4.50 / 46.81 ± 3.46@@22.517366825299966,19.55 ± 2.82 / 49.20 ± 3.88@@19.547451915787082,72.19 ± 4.11 / 49.02 ± 5.75@@72.18784537182009,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
clips/mfaq,2.98,278045952.0,250005.0,128,41606.02,🔍,✓,✗,48.48 ± 3.43 / 56.86 ± 5.68@@48.47536042851586,87.79 ± 1.05 / 87.34 ± 1.09@@87.7945106260032,79.55 ± 1.42 / 81.70 ± 1.28@@79.54809824305096,15.47 ± 7.50 / 53.00 ± 4.56@@15.467935738757376,7.66 ± 3.10 / 47.66 ± 4.74@@7.663481826531951,12.71 ± 7.13 / 8.26 ± 4.45@@12.709459099407866,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
Geotrend/bert-base-25lang-cased,2.99,151309824.0,84985.0,512,46515.5,🔍,✓,✗,33.02 ± 1.05 / 45.42 ± 1.62@@33.015901253785415,85.12 ± 0.48 / 86.18 ± 0.35@@85.12330037690138,81.07 ± 0.86 / 82.80 ± 0.57@@81.06908272383204,16.23 ± 5.11 / 53.89 ± 4.15@@16.225251360908803,10.91 ± 5.10 / 52.83 ± 4.56@@10.90857170113611,36.91 ± 3.65 / 24.40 ± 2.73@@36.91289579646866,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
jannikskytt/MeDa-Bert,3.0,110617344.0,32000.0,512,16113.51,🔍,✓,✗,38.94 ± 2.59 / 53.58 ± 3.33@@38.94189587820252,71.69 ± 0.92 / 68.09 ± 0.91@@71.69084396084607,60.00 ± 1.99 / 56.64 ± 1.98@@59.99673322968029,30.32 ± 4.68 / 62.42 ± 3.11@@30.322256477732708,7.99 ± 3.34 / 53.24 ± 1.64@@7.990737671274031,37.28 ± 1.24 / 24.02 ± 1.35@@37.27792895634259,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
mistralai/Mistral-7B-Instruct-v0.2 (few-shot),3.01,7241732096.0,32000.0,32768,2356.01,📝,✗,✗,34.86 ± 1.05 / 41.88 ± 2.28@@34.856445099675206,53.42 ± 2.48 / 42.63 ± 1.66@@53.41931140470343,54.34 ± 1.93 / 41.06 ± 2.40@@54.338859315094346,17.06 ± 1.53 / 56.51 ± 2.06@@17.055879372525325,11.00 ± 1.00 / 53.26 ± 2.32@@11.00104849441992,64.27 ± 2.42 / 35.74 ± 2.44@@64.27257490161261,15.1.0@@150100,9.2.0@@90200,9.2.0@@90200,9.3.1@@90301,9.3.1@@90301,12.4.0@@120400
utter-project/EuroLLM-9B-Instruct (few-shot),3.01,9152319488.0,128000.0,4096,954.97,📝,✗,✗,34.73 ± 0.68 / 38.45 ± 0.64@@34.732217527738065,54.89 ± 1.41 / 33.48 ± 2.28@@54.894834985497575,55.10 ± 1.17 / 36.46 ± 3.25@@55.099878143286155,17.48 ± 3.77 / 40.85 ± 2.94@@17.484121111563027,6.94 ± 1.70 / 35.38 ± 0.92@@6.939961202393348,65.74 ± 3.21 / 38.90 ± 3.10@@65.74338151417912,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
Geotrend/bert-base-en-da-cased,3.01,111178752.0,32731.0,512,46777.67,🔍,✓,✗,30.53 ± 4.95 / 43.58 ± 3.36@@30.526052705124044,84.97 ± 0.72 / 86.05 ± 0.45@@84.96566889099867,80.38 ± 0.90 / 82.14 ± 0.56@@80.37751921481832,16.46 ± 3.74 / 54.93 ± 3.71@@16.45606540464558,9.67 ± 4.69 / 52.36 ± 3.99@@9.667032136816127,34.74 ± 3.46 / 23.11 ± 2.79@@34.74353301748424,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
KBLab/megatron-bert-base-swedish-cased-125k,3.01,135291648.0,64128.0,512,15762.86,🔍,✓,✗,33.88 ± 1.40 / 49.21 ± 1.98@@33.88336527961798,77.98 ± 1.58 / 75.03 ± 1.70@@77.97736277933633,75.00 ± 1.28 / 71.00 ± 1.64@@75.00383766942466,24.23 ± 1.83 / 58.89 ± 1.43@@24.22943250610889,18.18 ± 2.65 / 57.28 ± 1.84@@18.179581388872922,30.08 ± 2.54 / 20.56 ± 1.82@@30.07987513761185,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
Geotrend/bert-base-da-cased,3.02,103820544.0,23150.0,512,46003.96,🔍,✓,✗,31.95 ± 1.97 / 45.05 ± 2.15@@31.951987323413185,84.71 ± 0.43 / 86.03 ± 0.41@@84.71399007368102,80.59 ± 0.56 / 82.24 ± 0.33@@80.58642636852532,15.37 ± 3.87 / 54.24 ± 3.21@@15.37353256818539,10.69 ± 5.47 / 53.20 ± 4.15@@10.687744444295419,33.36 ± 3.75 / 22.12 ± 2.72@@33.3560226519766,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"KennethEnevoldsen/munin_mistral-7b (few-shot, val)",3.02,7241732096.0,32000.0,4096,1402.58,🧠,✗,✓,35.85 ± 2.70 / 36.01 ± 2.30@@35.852499284223974,55.25 ± 2.21 / 44.02 ± 2.96@@55.248028403315374,61.64 ± 3.26 / 46.62 ± 3.37@@61.63983709817268,7.82 ± 3.88 / 36.50 ± 2.13@@7.822965460032447,0.00 ± 0.00 / 33.38 ± 0.75@@0.0,68.42 ± 5.26 / 47.64 ± 6.72@@68.41768312821813,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"birgermoell/Rapid-Cycling (few-shot, val)",3.02,7241732096.0,32000.0,4096,1424.11,🧠,✗,✓,35.76 ± 2.22 / 37.40 ± 1.52@@35.76173217834417,56.19 ± 3.24 / 47.83 ± 3.88@@56.18932249490914,61.39 ± 3.15 / 49.03 ± 3.50@@61.38682911376881,14.39 ± 3.75 / 40.53 ± 3.60@@14.388791232203452,1.77 ± 2.41 / 34.45 ± 2.22@@1.7703690686435014,62.83 ± 4.13 / 39.05 ± 4.08@@62.82988833569948,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"birgermoell/BeagleCatMunin-Flashback-Bellman (few-shot, val)",3.02,7241732096.0,32000.0,4096,1435.48,🧠,✗,✓,36.73 ± 1.86 / 37.30 ± 1.59@@36.73469084461811,53.65 ± 2.76 / 46.12 ± 3.47@@53.649673617893576,59.65 ± 2.68 / 47.00 ± 3.11@@59.64577490577479,15.52 ± 3.95 / 41.24 ± 3.25@@15.515257275453271,-0.40 ± 2.32 / 34.03 ± 1.71@@-0.39957048874879486,64.08 ± 4.66 / 40.11 ± 4.66@@64.07881520741532,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"birgermoell/Flashback-Bellman (few-shot, val)",3.02,7241732096.0,32000.0,4096,1439.13,🧠,✗,✓,35.76 ± 2.22 / 37.40 ± 1.52@@35.76173217834417,56.19 ± 3.24 / 47.83 ± 3.88@@56.18932249490914,61.39 ± 3.15 / 49.03 ± 3.50@@61.38682911376881,14.39 ± 3.75 / 40.53 ± 3.60@@14.388791232203452,1.77 ± 2.41 / 34.45 ± 2.22@@1.7703690686435014,62.83 ± 4.13 / 39.05 ± 4.08@@62.82988833569948,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
meta-llama/Llama-3.2-3B (few-shot),3.03,3212749824.0,128256.0,131073,3713.14,🧠,✓,✗,39.96 ± 2.25 / 58.34 ± 1.66@@39.95624832692931,49.57 ± 2.20 / 37.13 ± 2.52@@49.568672063977175,52.13 ± 3.94 / 38.26 ± 3.77@@52.12791346360457,3.20 ± 3.84 / 37.62 ± 4.94@@3.199990382252756,3.72 ± 3.66 / 38.51 ± 4.61@@3.715386642423342,68.67 ± 2.58 / 45.54 ± 3.50@@68.67345134152194,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
ibm-granite/granite-3.0-2b-instruct (few-shot),3.03,2634201088.0,49155.0,4097,10193.87,📝,✓,✗,39.87 ± 1.73 / 55.71 ± 2.40@@39.87275642969878,52.68 ± 2.02 / 46.01 ± 1.94@@52.68155557432716,53.17 ± 0.85 / 47.77 ± 2.12@@53.166066460677385,12.08 ± 2.13 / 51.41 ± 4.09@@12.080085114388215,7.18 ± 2.00 / 48.84 ± 3.17@@7.184175926056691,61.00 ± 2.15 / 36.00 ± 2.29@@61.00418202678647,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
meta-llama/Llama-2-13b-hf (few-shot),3.03,13015866880.0,32000.0,4096,939.56,🧠,✓,✗,29.41 ± 1.09 / 38.10 ± 0.97@@29.408599505431805,57.72 ± 2.26 / 51.45 ± 2.48@@57.72360460118882,56.15 ± 2.95 / 52.26 ± 3.08@@56.15184558976579,15.48 ± 5.90 / 45.00 ± 6.97@@15.478501775692841,6.27 ± 2.51 / 44.78 ± 4.89@@6.271946073317982,70.71 ± 4.35 / 47.50 ± 5.59@@70.70845401254907,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
bineric/NorskGPT-Mistral-7b (few-shot),3.05,7241732096.0,32000.0,4096,1440.19,📝,✗,✗,35.47 ± 0.80 / 38.01 ± 0.57@@35.469767443758684,62.98 ± 1.81 / 46.61 ± 3.01@@62.9796466163971,60.12 ± 1.27 / 43.49 ± 2.87@@60.12189820557629,15.15 ± 1.99 / 45.37 ± 3.71@@15.14684286651442,9.49 ± 1.78 / 43.92 ± 3.35@@9.490958345985181,49.25 ± 4.63 / 27.06 ± 2.88@@49.24796120486585,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
bineric/NorskGPT-Llama3-8b (few-shot),3.05,8030261248.0,128256.0,8192,3381.51,📝,✗,✗,35.60 ± 0.91 / 38.71 ± 0.43@@35.5988451527012,64.34 ± 2.67 / 57.96 ± 2.14@@64.34274530670055,59.50 ± 3.79 / 56.59 ± 3.46@@59.49533573025404,31.69 ± 2.05 / 64.62 ± 0.78@@31.68637453363653,24.58 ± 1.68 / 59.41 ± 2.26@@24.582533988030846,28.89 ± 5.58 / 0.10 ± 0.05@@28.890408274647466,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
google-bert/bert-base-multilingual-uncased,3.05,168055961.0,105879.0,512,43061.53,🔍,✓,✗,32.59 ± 3.22 / 45.01 ± 2.63@@32.5916249387388,72.96 ± 1.24 / 72.48 ± 1.10@@72.96483463935533,71.01 ± 1.06 / 70.70 ± 0.89@@71.00504302747102,15.16 ± 7.63 / 51.49 ± 7.94@@15.162138847040934,12.15 ± 5.96 / 52.18 ± 6.24@@12.15391663085384,40.87 ± 1.37 / 26.68 ± 1.33@@40.87478752574616,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"merge-crew/da-sv-task-arithmetic (few-shot, val)",3.06,7241732096.0,32000.0,4096,1469.32,🧠,✓,✓,37.68 ± 1.88 / 38.34 ± 1.61@@37.68247928108221,49.54 ± 2.96 / 41.26 ± 3.97@@49.53750366167372,58.69 ± 2.74 / 45.29 ± 3.80@@58.685280238301296,4.14 ± 3.48 / 34.91 ± 1.44@@4.1442231387812445,0.58 ± 1.13 / 33.69 ± 1.07@@0.5773537984304387,64.51 ± 5.52 / 42.22 ± 6.08@@64.51428157931743,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"merge-crew/da-sv-slerp (few-shot, val)",3.06,7241732096.0,32000.0,4096,1437.1,🧠,✓,✓,38.02 ± 1.82 / 38.34 ± 1.62@@38.0230651808224,49.47 ± 3.08 / 41.44 ± 3.74@@49.47329245248236,58.48 ± 2.54 / 45.04 ± 3.71@@58.48490175054554,4.74 ± 3.37 / 34.99 ± 1.38@@4.73708799998117,0.58 ± 1.13 / 33.69 ± 1.07@@0.5773537984304387,64.76 ± 5.53 / 42.47 ± 6.06@@64.75722236918139,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
KBLab/megatron-bert-base-swedish-cased-600k,3.07,135357824.0,64128.0,512,29136.87,🔍,✓,✗,34.73 ± 2.16 / 47.10 ± 3.00@@34.72864390557737,82.27 ± 0.89 / 82.91 ± 0.99@@82.26665237791536,76.72 ± 0.78 / 78.59 ± 0.80@@76.72452631905584,12.11 ± 3.29 / 53.58 ± 2.37@@12.112495649884806,7.26 ± 2.53 / 52.64 ± 1.28@@7.264711344984928,32.36 ± 3.49 / 21.36 ± 2.49@@32.35777929810939,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
mideind/IceBERT-xlmr-ic3,3.07,278043648.0,250002.0,512,11004.24,🔍,✓,✗,37.19 ± 1.76 / 47.27 ± 2.85@@37.18537897127635,82.46 ± 1.46 / 83.74 ± 1.16@@82.46390535570211,74.22 ± 0.57 / 77.50 ± 0.57@@74.21558576057971,13.25 ± 6.73 / 48.39 ± 7.10@@13.246259633541687,7.96 ± 5.56 / 45.68 ± 6.73@@7.9633599399057005,30.21 ± 5.73 / 18.75 ± 3.84@@30.209257392149624,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
"merge-crew/da-sv-dare-ties-density-0.6 (few-shot, val)",3.07,7241732096.0,32000.0,4096,1439.49,🧠,✓,✓,36.73 ± 2.45 / 38.00 ± 1.63@@36.73270088270917,45.62 ± 3.49 / 36.19 ± 2.98@@45.619135323308235,56.00 ± 3.57 / 40.87 ± 2.55@@55.99763570771381,11.73 ± 4.99 / 39.64 ± 3.44@@11.728311483294352,1.59 ± 4.90 / 37.37 ± 2.32@@1.5919238891031158,66.11 ± 4.87 / 44.64 ± 5.13@@66.10801534825201,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"AI-Sweden-Models/tyr (few-shot, val)",3.07,7241732096.0,32000.0,4096,1432.18,📝,✗,✓,35.02 ± 2.04 / 37.48 ± 1.60@@35.01969572859817,59.79 ± 1.62 / 53.88 ± 2.45@@59.79203053862972,61.52 ± 4.21 / 50.80 ± 4.65@@61.52046209673202,2.00 ± 2.01 / 34.87 ± 1.88@@2.002974064119254,-0.69 ± 1.35 / 33.36 ± 0.77@@-0.6879627645316385,66.58 ± 2.83 / 40.94 ± 3.03@@66.58370498269935,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
sarnikowski/convbert-medium-small-da-cased,3.08,24485316.0,28995.0,512,13820.64,🔍,✓,✗,32.40 ± 1.48 / 44.59 ± 1.66@@32.4031996702838,79.50 ± 0.70 / 76.09 ± 0.70@@79.50334589341952,73.03 ± 1.28 / 68.84 ± 1.39@@73.02613638453566,41.65 ± 1.95 / 70.35 ± 0.97@@41.6450101302514,25.53 ± 2.31 / 62.04 ± 1.19@@25.5291205566023,8.15 ± 4.18 / 5.41 ± 2.79@@8.15379933646442,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
KBLab/bert-base-swedish-cased-new,3.09,135193344.0,64000.0,512,15932.9,🔍,✓,✗,33.94 ± 3.74 / 47.96 ± 4.12@@33.9395006176096,83.23 ± 1.19 / 80.34 ± 1.44@@83.22921038410485,79.16 ± 1.50 / 75.55 ± 1.69@@79.15519506716097,9.56 ± 5.01 / 52.24 ± 2.78@@9.56149343936341,4.16 ± 2.97 / 50.07 ± 2.09@@4.157571216954259,33.72 ± 3.11 / 22.84 ± 2.52@@33.718198265341435,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
mistralai/Mistral-7B-v0.1 (few-shot),3.09,7241732096.0,32000.0,4096,2943.8,🧠,✓,✗,29.96 ± 2.47 / 33.32 ± 2.62@@29.964910552633146,54.03 ± 2.25 / 43.60 ± 2.92@@54.02519382218617,55.53 ± 1.63 / 43.31 ± 2.43@@55.52508658179999,12.38 ± 2.73 / 41.83 ± 3.31@@12.382702242397654,5.57 ± 1.96 / 39.92 ± 2.59@@5.567132304922509,67.33 ± 4.80 / 43.97 ± 5.24@@67.3337315748274,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,3.09,117654272.0,250037.0,512,29200.68,🔍,✓,✗,47.53 ± 0.94 / 62.73 ± 1.07@@47.52723165249685,78.31 ± 1.22 / 74.65 ± 1.36@@78.31156403746944,72.13 ± 0.90 / 67.28 ± 1.09@@72.13192668510388,26.92 ± 3.12 / 61.93 ± 2.04@@26.919228047221583,14.63 ± 4.00 / 56.24 ± 2.51@@14.630952582855885,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
danish-foundation-models/encoder-medium-v1,3.09,110617344.0,32000.0,512,16130.05,🔍,✓,✗,36.56 ± 1.53 / 51.54 ± 2.45@@36.55807097099616,68.66 ± 1.05 / 65.08 ± 1.07@@68.65797356255929,61.77 ± 2.03 / 57.87 ± 2.08@@61.76817731291604,31.23 ± 6.86 / 63.55 ± 5.48@@31.225876247515828,5.40 ± 4.63 / 44.64 ± 6.37@@5.403525694013869,34.52 ± 1.15 / 22.56 ± 0.95@@34.51755519385148,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
NorwAI/NorwAI-Mistral-7B (few-shot),3.09,7536586752.0,67993.0,4065,3034.67,🧠,✓,✗,49.00 ± 3.88 / 65.98 ± 2.95@@49.00158064857729,21.09 ± 6.44 / 20.45 ± 2.65@@21.0894961650699,26.31 ± 4.64 / 26.42 ± 2.98@@26.310542027871676,7.15 ± 2.14 / 40.83 ± 3.95@@7.1495869106174865,7.98 ± 2.64 / 45.21 ± 4.95@@7.977124333180504,68.04 ± 5.37 / 47.70 ± 5.32@@68.04214510030667,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
tiiuae/Falcon3-7B-Base (few-shot),3.09,7455550464.0,131072.0,32768,2982.07,🧠,✓,✗,30.39 ± 0.92 / 35.63 ± 0.59@@30.390044708836,59.03 ± 1.82 / 41.56 ± 4.00@@59.03489886955414,56.10 ± 1.42 / 43.08 ± 3.62@@56.10121310392605,15.29 ± 2.00 / 49.71 ± 4.42@@15.294055039557172,8.28 ± 2.05 / 50.51 ± 2.46@@8.275242851845322,61.79 ± 2.22 / 36.48 ± 2.17@@61.78787508620737,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.4.0@@140400
meta-llama/Llama-3.2-3B-Instruct (few-shot),3.1,3212749824.0,128256.0,131072,2101.25,📝,✗,✗,44.13 ± 2.80 / 60.09 ± 3.10@@44.12683357282064,49.66 ± 1.79 / 39.31 ± 2.55@@49.663674255220116,51.98 ± 1.55 / 42.48 ± 3.10@@51.98378452994237,0.67 ± 1.18 / 33.81 ± 0.33@@0.66906709357895,1.11 ± 0.93 / 33.03 ± 0.39@@1.1087773068060218,56.91 ± 4.14 / 28.62 ± 4.16@@56.91307864398029,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
meta-llama/Llama-2-7b-chat-hf (few-shot),3.1,6738417664.0,32000.0,4096,2643.05,📝,✓,✗,41.56 ± 3.37 / 57.09 ± 3.80@@41.563914235992705,44.99 ± 2.49 / 38.59 ± 2.84@@44.98717012563649,49.09 ± 1.90 / 39.09 ± 4.02@@49.09160290728335,3.04 ± 2.84 / 36.81 ± 2.42@@3.041240993968631,4.03 ± 2.49 / 40.55 ± 4.14@@4.03485485349317,61.99 ± 2.34 / 33.77 ± 2.11@@61.99093740480638,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.4.0@@120400
