model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version
<a href='https://huggingface.co/mideind/IceBERT'>mideind/IceBERT</a>,🔍,3.58@@3.58,162944162.0,50000.0,514.0,✓,✗,18.21 ± 0.85 / 36.17 ± 1.18@@18.21074164187795,44.28 ± 2.39 / 41.46 ± 2.08@@44.277062408727716,0.15 ± 0.31 / 36.03 ± 3.39@@0.1475958203647806,25.78 ± 0.76 / 21.71 ± 0.81@@25.780399141572246,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/mideind/IceBERT-ic3'>mideind/IceBERT-ic3</a>,🔍,3.61@@3.61,162944162.0,50000.0,514.0,✓,✗,17.50 ± 2.97 / 35.18 ± 3.68@@17.504824932472047,43.59 ± 2.50 / 41.23 ± 2.07@@43.59059572104923,1.05 ± 1.49 / 43.88 ± 3.50@@1.0532831875640767,24.17 ± 0.96 / 20.27 ± 0.92@@24.172127968084602,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/infly/OpenCoder-8B-Base'>infly/OpenCoder-8B-Base (few-shot)</a>,📝,3.62@@3.62,7771263040.0,96640.0,8192.0,✓,✗,15.40 ± 8.78 / 26.08 ± 7.85@@15.400168717457124,40.43 ± 2.34 / 23.73 ± 2.37@@40.429367144067854,6.00 ± 1.78 / 48.92 ± 2.84@@6.000511803300211,25.35 ± 4.76 / 0.06 ± 0.06@@25.34753730061433,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/google/gemma-7b-it'>google/gemma-7b-it (few-shot)</a>,📝,3.63@@3.63,8537680896.0,256000.0,8192.0,✗,✗,27.58 ± 5.14 / 44.38 ± 7.12@@27.5788090576735,34.36 ± 2.13 / 26.10 ± 1.53@@34.35823772376746,7.47 ± 2.39 / 47.81 ± 4.47@@7.468763221450411,15.47 ± 1.47 / 3.75 ± 1.51@@15.465467463550317,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/mideind/IceBERT-igc'>mideind/IceBERT-igc</a>,🔍,3.63@@3.63,124494162.0,50000.0,514.0,✓,✗,20.08 ± 2.34 / 40.13 ± 2.89@@20.084358395530927,40.07 ± 1.63 / 37.95 ± 1.87@@40.066772609926474,1.77 ± 1.97 / 47.79 ± 2.33@@1.7746660198000432,24.46 ± 0.79 / 19.88 ± 0.99@@24.46041452957181,15.8.2@@150802,15.9.0.dev0@@150900,15.8.2@@150802,15.9.0.dev0@@150900
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct'>AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (few-shot)</a>,📝,3.66@@3.66,7111057408.0,64000.0,2048.0,✓,✗,2.85 ± 1.54 / 18.05 ± 0.23@@2.852585219514885,15.35 ± 1.38 / 14.74 ± 1.30@@15.353285964392722,10.99 ± 2.52 / 54.07 ± 1.93@@10.991701824752424,58.22 ± 0.76 / 50.51 ± 0.90@@58.223132598160284,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.4.0@@120400
<a href='https://huggingface.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base (few-shot)</a>,🧠,3.66@@3.66,1384956928.0,49152.0,4096.0,✓,✗,17.52 ± 2.86 / 27.96 ± 2.94@@17.520506889349242,16.82 ± 3.53 / 14.28 ± 3.01@@16.824129159351493,1.53 ± 2.06 / 36.59 ± 3.39@@1.5325826132878955,44.65 ± 1.79 / 40.21 ± 1.57@@44.646516086558336,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/mhenrichsen/danskgpt-tiny'>mhenrichsen/danskgpt-tiny (few-shot)</a>,🧠,3.66@@3.66,1100048384.0,32000.0,2048.0,✓,✗,26.31 ± 5.33 / 44.07 ± 6.36@@26.309117031640994,14.13 ± 3.50 / 12.15 ± 3.14@@14.126007093257083,-0.54 ± 1.46 / 44.56 ± 3.34@@-0.5394460057012628,38.99 ± 1.42 / 32.12 ± 1.62@@38.989582572556984,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.5.1@@120501
<a href='https://huggingface.co/jannesg/bertsson'>jannesg/bertsson</a>,🔍,3.67@@3.67,123852290.0,50000.0,512.0,✓,✗,24.11 ± 1.74 / 44.78 ± 2.78@@24.106041552164687,32.63 ± 1.06 / 32.76 ± 1.02@@32.62940560204817,2.91 ± 1.07 / 46.98 ± 3.78@@2.9052618872574087,22.17 ± 1.24 / 15.37 ± 1.22@@22.17454727849343,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/alexanderfalk/danbert-small-cased'>alexanderfalk/danbert-small-cased</a>,🔍,3.67@@3.67,82862594.0,52000.0,512.0,✓,✗,30.67 ± 1.28 / 51.76 ± 1.28@@30.66863346692335,33.05 ± 1.28 / 31.68 ± 1.05@@33.053927334429986,13.01 ± 5.22 / 55.11 ± 3.40@@13.01326412999932,5.30 ± 2.21 / 1.56 ± 0.88@@5.295755070890629,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B (few-shot)</a>,🧠,3.70@@3.70,1711376384.0,49152.0,8192.0,✓,✗,8.53 ± 2.72 / 21.43 ± 1.98@@8.52839828147983,25.08 ± 3.34 / 19.73 ± 2.37@@25.07749823934966,1.58 ± 1.42 / 36.34 ± 2.98@@1.5804202089137889,49.56 ± 0.79 / 43.93 ± 1.02@@49.561098333840064,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/allenai/OLMo-7B-Twin-2T'>allenai/OLMo-7B-Twin-2T (few-shot)</a>,🧠,3.70@@3.70,6888095744.0,50280.0,2080.0,✓,✗,18.30 ± 3.89 / 27.62 ± 5.78@@18.295671716541065,7.52 ± 3.92 / 6.60 ± 2.84@@7.519916347186169,3.23 ± 1.94 / 45.74 ± 3.06@@3.2290964764286825,51.37 ± 1.43 / 46.35 ± 1.42@@51.36665516242461,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/microsoft/phi-2'>microsoft/phi-2 (few-shot)</a>,🧠,3.71@@3.71,2779683840.0,51200.0,2048.0,✓,✗,19.42 ± 3.08 / 39.76 ± 4.06@@19.42214802395778,30.20 ± 2.26 / 25.13 ± 1.74@@30.203677716893974,1.26 ± 1.83 / 39.70 ± 4.03@@1.2575848766364839,29.27 ± 3.99 / 27.01 ± 3.93@@29.271992695892873,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2'>sentence-transformers/distiluse-base-multilingual-cased-v2</a>,🔍,3.72@@3.72,134734080.0,119547.0,512.0,✓,✗,30.13 ± 2.10 / 46.78 ± 4.49@@30.130099196899007,26.96 ± 1.31 / 25.63 ± 1.35@@26.962415428996522,2.01 ± 1.29 / 48.79 ± 1.65@@2.008561958658952,16.40 ± 1.79 / 8.22 ± 1.11@@16.399524800355955,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/timpal0l/Mistral-7B-v0.1-flashback-v2'>timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot)</a>,📝,3.72@@3.72,7241732096.0,32000.0,4096.0,✓,✗,22.13 ± 5.46 / 28.85 ± 5.49@@22.130019368184847,33.14 ± 3.73 / 20.08 ± 2.04@@33.14468263548655,0.17 ± 0.34 / 33.22 ± 0.33@@0.16608434752498022,19.47 ± 1.79 / 0.00 ± 0.00@@19.472083372310294,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/state-spaces/mamba-2.8b-hf'>state-spaces/mamba-2.8b-hf (few-shot)</a>,🧠,3.72@@3.72,2768345600.0,50280.0,32800.0,✓,✗,10.47 ± 3.28 / 19.91 ± 2.67@@10.472357885656372,17.58 ± 1.95 / 15.48 ± 1.39@@17.577991594566,1.23 ± 1.53 / 36.92 ± 3.53@@1.228766350440468,49.37 ± 1.19 / 42.56 ± 1.07@@49.366106452851476,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased'>sentence-transformers/distiluse-base-multilingual-cased</a>,🔍,3.72@@3.72,134734080.0,119547.0,512.0,✓,✗,30.13 ± 2.10 / 46.78 ± 4.49@@30.130099196899007,26.96 ± 1.31 / 25.63 ± 1.35@@26.962415428996522,2.01 ± 1.29 / 48.79 ± 1.65@@2.008561958658952,16.49 ± 1.77 / 8.25 ± 1.03@@16.485324888051515,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/google/gemma-2b-it'>google/gemma-2b-it (few-shot)</a>,📝,3.74@@3.74,2506172416.0,256000.0,8192.0,✗,✗,22.29 ± 3.13 / 32.35 ± 3.19@@22.294363232320464,19.75 ± 2.44 / 14.35 ± 1.33@@19.75040662967305,-0.28 ± 1.33 / 40.25 ± 3.55@@-0.27841246282999954,31.66 ± 3.53 / 18.81 ± 4.09@@31.657493195315475,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://huggingface.co/KBLab/albert-base-swedish-cased-alpha'>KBLab/albert-base-swedish-cased-alpha</a>,🔍,3.75@@3.75,13654530.0,50000.0,512.0,✓,✗,19.79 ± 1.67 / 42.09 ± 1.98@@19.792512351228307,29.90 ± 7.25 / 28.27 ± 6.86@@29.895197807352712,6.15 ± 1.66 / 52.04 ± 1.49@@6.150372163174989,21.55 ± 2.17 / 15.96 ± 2.06@@21.553341064063858,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,3.76@@3.76,395881664.0,50368.0,8192.0,✓,✗,19.08 ± 2.56 / 41.96 ± 3.30@@19.076490297890054,24.09 ± 3.81 / 23.02 ± 3.79@@24.0905730368353,2.02 ± 1.71 / 49.05 ± 1.25@@2.021894824929572,28.86 ± 1.52 / 22.41 ± 1.69@@28.863249521179586,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b (few-shot)</a>,🧠,3.79@@3.79,68977172480.0,32032.0,8192.0,✗,✗,15.59 ± 5.26 / 30.80 ± 4.95@@15.593771101319346,57.93 ± 2.12 / 37.66 ± 3.72@@57.925831065111986,-0.23 ± 0.45 / 33.17 ± 0.28@@-0.22715341972280156,0.09 ± 0.06 / 0.02 ± 0.03@@0.09421653431320272,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/infly/OpenCoder-1.5B-Instruct'>infly/OpenCoder-1.5B-Instruct (few-shot)</a>,📝,3.79@@3.79,1905650880.0,96640.0,4096.0,✗,✗,12.87 ± 3.92 / 30.05 ± 4.09@@12.872715812664248,27.91 ± 2.41 / 19.95 ± 1.73@@27.908691624658065,-0.38 ± 1.62 / 38.41 ± 4.33@@-0.38018911252544135,35.73 ± 0.81 / 28.18 ± 0.93@@35.73119829035659,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/neurocode/IsRoBERTa'>neurocode/IsRoBERTa</a>,🔍,3.79@@3.79,82862594.0,52000.0,514.0,✓,✗,23.04 ± 1.40 / 45.23 ± 1.80@@23.040266509106257,30.93 ± 3.01 / 28.64 ± 3.00@@30.93279559247599,1.80 ± 1.24 / 48.20 ± 1.63@@1.7989834000968898,17.36 ± 0.49 / 11.36 ± 0.42@@17.360482199318604,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/vesteinn/ScandiBERT'>vesteinn/ScandiBERT</a>,🔍,3.80@@3.80,124548012.0,50005.0,514.0,✓,✗,32.68 ± 11.88 / 49.56 ± 11.85@@32.679438707996574,9.17 ± 11.94 / 14.26 ± 11.60@@9.165525539459667,6.09 ± 11.94 / 37.98 ± 8.83@@6.089849899833629,22.50 ± 1.66 / 15.42 ± 1.74@@22.498520810464672,15.8.2@@150802,15.9.0.dev0@@150900,15.8.2@@150802,15.9.0.dev0@@150900
<a href='https://huggingface.co/NbAiLab/roberta_jan_128_ncc'>NbAiLab/roberta_jan_128_ncc</a>,🔍,3.80@@3.80,124057346.0,50265.0,514.0,✓,✗,14.28 ± 2.58 / 36.84 ± 1.01@@14.27702046610233,27.15 ± 4.40 / 24.02 ± 3.99@@27.15492259336821,3.67 ± 2.03 / 51.00 ± 1.06@@3.672343102199345,26.74 ± 0.87 / 21.45 ± 1.07@@26.7417941887055,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/tiiuae/Falcon3-1B-Instruct'>tiiuae/Falcon3-1B-Instruct (few-shot)</a>,📝,3.80@@3.80,1669408768.0,131072.0,8192.0,✓,✗,15.96 ± 2.77 / 38.74 ± 2.88@@15.959861273731505,20.03 ± 1.60 / 17.52 ± 1.50@@20.029377917194754,0.86 ± 1.76 / 42.48 ± 3.82@@0.8554352423693787,35.38 ± 2.10 / 28.98 ± 1.93@@35.375878709851804,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
<a href='https://huggingface.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,3.82@@3.82,149655232.0,50368.0,8192.0,✓,✗,20.58 ± 1.81 / 43.48 ± 1.59@@20.577761069451366,19.77 ± 2.59 / 18.51 ± 2.63@@19.774218915361658,0.71 ± 1.33 / 48.62 ± 1.40@@0.7052566530974006,26.16 ± 1.35 / 19.33 ± 1.67@@26.1598849133689,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B-Chat'>Qwen/Qwen1.5-0.5B-Chat (few-shot)</a>,📝,3.84@@3.84,619570176.0,151936.0,32768.0,✗,✗,10.72 ± 3.35 / 25.21 ± 3.80@@10.722026536903668,17.38 ± 2.04 / 15.74 ± 1.99@@17.383701993592396,1.32 ± 1.08 / 42.05 ± 3.69@@1.3205800256823907,40.37 ± 1.02 / 34.58 ± 0.97@@40.371063194903414,11.0.0@@110000,12.5.2@@120502,12.1.0@@120100,12.4.0@@120400
<a href='https://huggingface.co/Maltehb/aelaectra-danish-electra-small-cased'>Maltehb/aelaectra-danish-electra-small-cased</a>,🔍,3.84@@3.84,13672706.0,32000.0,128.0,✓,✗,23.86 ± 5.74 / 39.05 ± 5.61@@23.86224317299364,0.94 ± 1.84 / 0.78 ± 1.53@@0.936408106219427,54.24 ± 1.41 / 74.90 ± 0.97@@54.24473559763491,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/3ebdola/Dialectal-Arabic-XLM-R-Base'>3ebdola/Dialectal-Arabic-XLM-R-Base</a>,🔍,3.85@@3.85,277455362.0,250002.0,512.0,✓,✗,22.07 ± 2.24 / 44.70 ± 3.72@@22.065311173395,36.51 ± 2.44 / 36.31 ± 2.71@@36.51119522199081,1.63 ± 1.49 / 45.36 ± 3.07@@1.6326548760259882,9.48 ± 1.61 / 3.09 ± 1.00@@9.482564992818164,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning (few-shot)</a>,🤔,3.89@@3.89,3836021760.0,200064.0,131072.0,✓,✗,19.22 ± 3.20 / 37.71 ± 5.81@@19.22478881619987,37.25 ± 2.62 / 31.01 ± 2.01@@37.250287408690184,3.34 ± 1.93 / 46.81 ± 3.32@@3.339360944078524,8.06 ± 0.58 / 0.00 ± 0.00@@8.059540365817151,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://huggingface.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview (few-shot)</a>,🧠,3.90@@3.90,3211926528.0,65536.0,4096.0,✓,✗,13.01 ± 2.33 / 28.28 ± 4.63@@13.011727923208463,15.93 ± 3.91 / 14.68 ± 2.81@@15.9283607164395,0.05 ± 1.37 / 40.73 ± 3.78@@0.04779843333938214,40.81 ± 2.04 / 36.10 ± 1.67@@40.81475797072667,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300
<a href='https://huggingface.co/Qwen/Qwen1.5-0.5B'>Qwen/Qwen1.5-0.5B (few-shot)</a>,📝,3.90@@3.90,619570176.0,151936.0,32768.0,✓,✗,8.88 ± 1.86 / 24.27 ± 2.45@@8.875100190032434,19.01 ± 1.91 / 17.08 ± 1.83@@19.008769420694087,0.66 ± 1.41 / 37.98 ± 4.14@@0.6563315675205091,38.31 ± 2.81 / 32.78 ± 2.33@@38.30762856056591,10.0.1@@100001,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/dbmdz/bert-tiny-historic-multilingual-cased'>dbmdz/bert-tiny-historic-multilingual-cased</a>,🔍,3.91@@3.91,4558850.0,32000.0,512.0,✓,✗,20.71 ± 1.68 / 40.07 ± 2.65@@20.710963502273692,33.62 ± 1.57 / 31.69 ± 1.40@@33.62225407778024,1.19 ± 1.08 / 48.46 ± 1.34@@1.186744737036123,7.68 ± 1.59 / 4.19 ± 0.88@@7.681885520583139,<9.2.0@@0,12.6.1@@120601,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/allenai/OLMo-1B'>allenai/OLMo-1B (few-shot)</a>,🧠,3.97@@3.97,1176764416.0,50280.0,2080.0,✓,✗,17.94 ± 5.58 / 32.80 ± 3.63@@17.93699217101962,13.39 ± 2.60 / 12.39 ± 2.46@@13.39128223773426,-2.02 ± 2.28 / 40.63 ± 4.12@@-2.0211100550345193,26.24 ± 3.20 / 23.65 ± 2.96@@26.2421720364985,12.1.0@@120100,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/marksverdhei/modern-norbert3-large'>marksverdhei/modern-norbert3-large</a>,🔍,4.02@@4.02,354290512.0,50000.0,512.0,✓,✗,20.70 ± 4.91 / 40.79 ± 6.26@@20.697106189414814,19.49 ± 2.88 / 18.78 ± 3.05@@19.48941784170203,0.85 ± 2.22 / 45.01 ± 2.39@@0.8468676159724878,11.66 ± 1.86 / 4.65 ± 1.02@@11.660358096708865,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/RabotaRu/HRBert-mini'>RabotaRu/HRBert-mini</a>,🔍,4.08@@4.08,79961090.0,200001.0,512.0,✓,✗,20.33 ± 1.89 / 40.95 ± 2.78@@20.326898272906348,22.21 ± 0.75 / 21.70 ± 0.70@@22.207010126469466,0.90 ± 1.40 / 48.85 ± 2.60@@0.9031288402473636,7.23 ± 1.45 / 2.73 ± 0.64@@7.226092120841571,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/NbAiLab/nb-gpt-j-6B-v2'>NbAiLab/nb-gpt-j-6B-v2 (few-shot)</a>,🧠,4.08@@4.08,6050882784.0,50400.0,1024.0,✗,✗,27.80 ± 6.39 / 43.80 ± 5.16@@27.80494271259627,0.24 ± 0.25 / 0.25 ± 0.21@@0.24188496628640552,0.56 ± 0.51 / 34.04 ± 1.28@@0.5571038325151182,21.33 ± 6.27 / 6.84 ± 6.83@@21.325084288981667,10.0.1@@100001,9.3.1@@90301,11.0.0@@110000,12.5.1@@120501
<a href='https://huggingface.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview (few-shot)</a>,🧠,4.09@@4.09,353424384.0,65536.0,2048.0,✓,✗,9.47 ± 3.30 / 25.66 ± 3.36@@9.472400263676851,13.84 ± 1.95 / 13.12 ± 1.60@@13.837410956947682,-0.36 ± 1.60 / 39.52 ± 3.19@@-0.357526781019145,29.00 ± 1.46 / 23.82 ± 1.42@@28.99937569662692,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300
<a href='https://huggingface.co/RuterNorway/Llama-2-7b-chat-norwegian'>RuterNorway/Llama-2-7b-chat-norwegian (few-shot)</a>,📝,4.12@@4.12,6738415616.0,32000.0,4096.0,✗,✗,10.65 ± 3.65 / 28.33 ± 5.27@@10.650853565554193,10.12 ± 1.24 / 9.84 ± 1.12@@10.12012674425826,-0.66 ± 1.24 / 33.61 ± 0.26@@-0.6648554671719903,28.87 ± 4.21 / 26.08 ± 3.96@@28.865389021785965,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.2@@120502
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M (few-shot)</a>,🧠,4.14@@4.14,361821120.0,49152.0,8192.0,✓,✗,3.61 ± 2.69 / 19.01 ± 3.95@@3.607490415798792,12.68 ± 1.39 / 12.32 ± 1.19@@12.683557712966604,1.79 ± 0.97 / 36.23 ± 3.19@@1.7861997571168204,32.48 ± 3.57 / 28.12 ± 3.14@@32.484688885622965,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
<a href='https://huggingface.co/PleIAs/Pleias-Pico'>PleIAs/Pleias-Pico (few-shot)</a>,🧠,4.14@@4.14,353424384.0,65536.0,2048.0,✓,✗,13.31 ± 3.23 / 34.38 ± 3.13@@13.309230381594011,10.59 ± 2.24 / 10.29 ± 1.37@@10.586127392134362,0.52 ± 0.78 / 33.76 ± 0.37@@0.5235976312014544,22.98 ± 2.97 / 18.77 ± 2.44@@22.979568790776682,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (few-shot)</a>,📝,4.18@@4.18,470607872.0,64000.0,2048.0,✓,✗,3.64 ± 1.41 / 14.91 ± 0.67@@3.641948876719435,10.97 ± 1.01 / 11.07 ± 0.90@@10.972613709695892,-0.01 ± 1.43 / 43.69 ± 3.97@@-0.009729989247605972,33.22 ± 6.05 / 24.91 ± 7.01@@33.21819138060023,15.4.1@@150401,15.4.1@@150401,15.4.2@@150402,15.4.2@@150402
fresh-xlm-roberta-base,🔍,4.20@@4.20,277455362.0,250002.0,512.0,✓,✗,17.37 ± 3.82 / 36.83 ± 4.86@@17.372348496404374,16.04 ± 2.47 / 15.60 ± 2.62@@16.041640694570297,1.34 ± 0.97 / 35.45 ± 3.20@@1.340859346016017,6.64 ± 1.56 / 1.58 ± 0.51@@6.641374743855893,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot)</a>,📝,4.20@@4.20,186112512.0,64000.0,2048.0,✓,✗,17.37 ± 3.32 / 28.32 ± 3.57@@17.369446827594132,11.95 ± 1.20 / 12.13 ± 0.99@@11.950733316394297,-0.32 ± 0.64 / 33.16 ± 0.28@@-0.3241613995736439,11.66 ± 1.41 / 4.32 ± 1.58@@11.655576158540848,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct (few-shot)</a>,📝,4.22@@4.22,361821120.0,49152.0,8192.0,✓,✗,2.66 ± 2.70 / 16.29 ± 2.34@@2.660725949874136,8.97 ± 3.18 / 8.62 ± 2.72@@8.96639425346848,1.65 ± 1.38 / 44.50 ± 3.21@@1.648327209134854,28.73 ± 1.90 / 24.92 ± 1.68@@28.727323423333125,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m (few-shot)</a>,🧠,4.26@@4.26,186112512.0,64000.0,2048.0,✓,✗,14.31 ± 3.79 / 31.30 ± 5.32@@14.310800554017764,4.71 ± 3.15 / 6.78 ± 1.69@@4.706826274941394,-1.40 ± 1.89 / 34.40 ± 2.22@@-1.4002123749475266,19.90 ± 2.31 / 17.18 ± 2.18@@19.89673994333414,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/NorwAI/NorwAI-Mistral-7B-pretrain'>NorwAI/NorwAI-Mistral-7B-pretrain (few-shot)</a>,🧠,4.27@@4.27,7536586752.0,67993.0,4096.0,✓,✗,3.55 ± 3.64 / 22.75 ± 4.02@@3.5545293800898587,12.82 ± 2.64 / 12.37 ± 1.95@@12.817294575442977,0.68 ± 1.41 / 35.13 ± 0.98@@0.6763339622888445,24.31 ± 1.88 / 19.85 ± 1.75@@24.307959713276738,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/RJuro/kanelsnegl-v0.2'>RJuro/kanelsnegl-v0.2 (few-shot)</a>,📝,4.35@@4.35,7241732096.0,32000.0,512.0,✓,✗,4.81 ± 2.69 / 19.31 ± 1.01@@4.806820559694911,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.25 ± 0.23@@0.0,30.05 ± 4.99 / 0.00 ± 0.00@@30.053116497561046,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
fresh-electra-small,🔍,4.36@@4.36,13483522.0,30522.0,512.0,✓,✗,18.61 ± 4.17 / 35.23 ± 3.90@@18.61210258001086,12.87 ± 1.63 / 13.23 ± 1.55@@12.871035124794187,0.30 ± 1.39 / 37.84 ± 3.88@@0.29678719898403655,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M (few-shot)</a>,🧠,4.37@@4.37,134515008.0,49152.0,8192.0,✓,✗,3.28 ± 2.46 / 22.44 ± 4.24@@3.279677105391517,12.76 ± 1.42 / 12.70 ± 1.12@@12.762693381063578,0.96 ± 0.98 / 36.44 ± 2.41@@0.9560197459829606,15.86 ± 3.54 / 13.59 ± 3.19@@15.860020597383363,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://huggingface.co/NbAiLab/nb-gpt-j-6B'>NbAiLab/nb-gpt-j-6B@sharded (few-shot)</a>,🧠,4.40@@4.40,,50400.0,1024.0,✓,✗,11.00 ± 7.09 / 26.09 ± 6.96@@10.996303814050504,0.36 ± 0.40 / 1.82 ± 1.16@@0.361751527845115,-0.11 ± 1.16 / 33.76 ± 0.86@@-0.10501356146641747,17.35 ± 5.86 / 5.15 ± 6.60@@17.350077365401596,10.0.1@@100001,9.3.1@@90301,10.0.1@@100001,12.5.1@@120501
