model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version
<a href='https://huggingface.co/01-ai/Yi-34B-Chat'>01-ai/Yi-34B-Chat (few-shot)</a>,📝,-@@100,34388917248.0,64000.0,4096.0,✓,✗,76.31 ± 4.16 / 78.16 ± 3.27@@76.30628331318643,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,12.10.0@@121000,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking'>sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking</a>,🔍,-@@100,135326979.0,119547.0,512.0,✓,✗,68.33 ± 1.03 / 64.03 ± 2.47@@68.3345497180707,65.50 ± 1.20 / 59.72 ± 1.22@@65.50106179223033,14.81 ± 6.63 / 55.50 ± 4.28@@14.812093485442606,22.88 ± 1.34 / 16.11 ± 1.18@@22.883050298980827,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/stsb-xlm-r-multilingual'>sentence-transformers/stsb-xlm-r-multilingual</a>,🔍,-@@100,278045955.0,250002.0,512.0,✓,✗,72.77 ± 0.89 / 68.13 ± 1.56@@72.7696513303967,68.94 ± 1.53 / 62.54 ± 1.20@@68.93905293283159,40.21 ± 2.53 / 67.11 ± 1.86@@40.2110298336993,25.99 ± 1.19 / 20.09 ± 1.31@@25.989262957386263,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sentence-transformers/use-cmlm-multilingual'>sentence-transformers/use-cmlm-multilingual</a>,🔍,-@@100,472022179.0,501153.0,512.0,✓,✗,72.78 ± 1.56 / 67.31 ± 2.95@@72.78435551868313,73.62 ± 1.87 / 72.55 ± 1.49@@73.62335209587438,38.07 ± 15.96 / 67.76 ± 7.51@@38.06790107191226,42.67 ± 1.45 / 36.89 ± 1.26@@42.67247481041748,-@@-1,-0.24 ± 0.91 / 24.67 ± 0.68@@-0.23674346471445842,0.50 ± 1.26 / 25.38 ± 0.94@@0.5041867685476252,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,-@@0,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-@@100,470927360.0,501153.0,512.0,✓,✗,72.04 ± 1.69 / 69.16 ± 2.36@@72.04304034899404,75.40 ± 2.35 / 73.56 ± 2.00@@75.39918913514268,55.28 ± 2.33 / 76.79 ± 1.79@@55.27822822912519,43.90 ± 0.86 / 38.49 ± 0.93@@43.89607201020803,-@@-1,-1.32 ± 1.09 / 23.56 ± 0.80@@-1.3175278594313282,1.94 ± 0.81 / 26.46 ± 0.60@@1.9370453240979413,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,-@@0,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/neurocode/IsRoBERTa'>neurocode/IsRoBERTa</a>,🔍,-@@100,83453187.0,52000.0,514.0,✓,✗,52.79 ± 1.51 / 52.16 ± 0.99@@52.78937569051989,-@@-1,2.10 ± 1.59 / 46.97 ± 2.68@@2.099600864753991,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,-@@0,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/AI-Sweden-Models/Llama-3-8B'>AI-Sweden-Models/Llama-3-8B@54a1b6f (few-shot)</a>,🧠,-@@100,,128256.0,8192.0,✓,✗,80.48 ± 0.97 / 75.89 ± 2.50@@80.47935193687412,-@@-1,27.26 ± 2.76 / 59.89 ± 2.71@@27.256728057794415,-@@-1,-@@-1,30.89 ± 0.67 / 46.59 ± 0.68@@30.89031457215291,19.23 ± 1.68 / 37.87 ± 1.41@@19.230231897788283,12.10.4@@121004,-@@0,12.10.4@@121004,-@@0,-@@0,12.10.4@@121004,12.10.4@@121004
<a href='https://huggingface.co/numind/generic-sentiment-multi-v1'>numind/generic-sentiment-multi-v1</a>,🔍,-@@100,278045955.0,250002.0,512.0,✓,✗,74.96 ± 0.84 / 67.87 ± 2.52@@74.95891329714915,77.94 ± 1.35 / 76.74 ± 1.41@@77.9400877932382,42.06 ± 5.36 / 66.63 ± 2.44@@42.06351648670456,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/norallm/normistral-7b-scratch'>norallm/normistral-7b-scratch (few-shot)</a>,🧠,-@@100,7248023552.0,32768.0,2048.0,✓,✗,-@@-1,-@@-1,-@@-1,-@@-1,55.77 ± 0.83 / 14.15 ± 0.51@@55.767885873356136,-0.39 ± 1.21 / 22.30 ± 0.78@@-0.38730111608467527,-0.52 ± 1.01 / 25.20 ± 0.85@@-0.5165740096306815,-@@0,-@@0,-@@0,-@@0,11.0.0@@110000,10.0.1@@100001,10.0.1@@100001
<a href='https://huggingface.co/stabilityai/stablelm-zephyr-3b'>stabilityai/stablelm-zephyr-3b (few-shot)</a>,📝,-@@100,2795443200.0,50304.0,2048.0,✗,✗,-14.54 ± 2.08 / 19.81 ± 0.91@@-14.536615027316813,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,9.3.2@@90302,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/susnato/ernie-m-base_pytorch'>susnato/ernie-m-base_pytorch</a>,🔍,-@@100,278045187.0,250002.0,512.0,✓,✗,74.07 ± 1.41 / 69.19 ± 3.93@@74.06567720952941,74.12 ± 2.11 / 67.98 ± 1.51@@74.12014559704576,64.86 ± 1.02 / 82.04 ± 0.62@@64.86397021635122,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/susnato/ernie-m-large_pytorch'>susnato/ernie-m-large_pytorch</a>,🔍,-@@100,559892483.0,250002.0,512.0,✓,✗,76.84 ± 1.56 / 76.00 ± 1.94@@76.84474240056105,79.59 ± 1.75 / 73.84 ± 2.30@@79.58590383537954,71.19 ± 1.31 / 84.70 ± 1.02@@71.18993399383358,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/mideind/IceBERT'>mideind/IceBERT</a>,🔍,-@@100,162944162.0,50000.0,514.0,✓,✗,48.36 ± 1.76 / 49.80 ± 0.80@@48.36351626771956,61.72 ± 1.59 / 62.83 ± 1.57@@61.72479244219401,0.54 ± 0.85 / 35.95 ± 3.29@@0.5391139319782169,26.29 ± 0.93 / 21.20 ± 1.19@@26.292840872484902,-@@-1,-0.81 ± 1.03 / 24.07 ± 0.80@@-0.8107075342839103,2.03 ± 1.19 / 26.55 ± 0.88@@2.0331233048324897,15.9.0.dev0@@150900,15.9.2@@150902,15.9.0.dev0@@150900,15.9.2@@150902,-@@0,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/mideind/IceBERT-xlmr-ic3'>mideind/IceBERT-xlmr-ic3</a>,🔍,-@@100,278545702.0,250002.0,514.0,✓,✗,62.86 ± 1.94 / 55.60 ± 0.82@@62.86332455803446,65.99 ± 2.51 / 66.39 ± 2.33@@65.98785232259384,10.37 ± 5.93 / 50.16 ± 5.82@@10.370977698328694,34.17 ± 0.53 / 28.33 ± 0.48@@34.17069189503771,-@@-1,0.42 ± 1.02 / 25.19 ± 0.78@@0.4208481488695138,-0.71 ± 1.61 / 24.47 ± 1.21@@-0.7082271393197405,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,15.9.0.dev0@@150900,15.9.0.dev0@@150900
<a href='https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-@@100,117654915.0,250037.0,512.0,✓,✗,72.19 ± 0.71 / 67.88 ± 2.34@@72.19447570192744,66.50 ± 1.49 / 59.99 ± 1.40@@66.50101423652444,28.75 ± 5.58 / 63.30 ± 2.60@@28.75424644565329,23.08 ± 0.95 / 15.91 ± 0.87@@23.084483817891332,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/mideind/IceBERT-large'>mideind/IceBERT-large</a>,🔍,-@@100,406390946.0,50000.0,514.0,✓,✗,46.94 ± 2.98 / 49.16 ± 1.32@@46.94330170295466,62.20 ± 0.83 / 63.09 ± 0.92@@62.19620723412179,2.10 ± 1.52 / 47.11 ± 2.82@@2.1011257433221404,28.20 ± 0.99 / 23.76 ± 1.15@@28.20348599309932,-@@-1,-0.82 ± 1.31 / 24.21 ± 0.96@@-0.8219647231360868,-0.67 ± 1.30 / 24.51 ± 0.97@@-0.6663946565318585,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/mideind/IceBERT-igc'>mideind/IceBERT-igc</a>,🔍,-@@100,124494162.0,50000.0,514.0,✓,✗,44.12 ± 2.41 / 47.87 ± 1.13@@44.11759831442068,57.70 ± 1.92 / 58.98 ± 1.86@@57.70245469182305,1.55 ± 1.57 / 44.75 ± 3.87@@1.5540970210369565,24.27 ± 0.85 / 18.20 ± 0.95@@24.267218909069857,-@@-1,-0.65 ± 0.89 / 24.29 ± 0.65@@-0.6456091602825055,0.90 ± 1.39 / 25.70 ± 1.04@@0.8991104188959478,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/syvai/llama3-da-base'>syvai/llama3-da-base (few-shot)</a>,🧠,-@@100,8030261248.0,128256.0,8192.0,✓,✗,-@@-1,-@@-1,-@@-1,65.11 ± 0.86 / 59.19 ± 1.10@@65.10674203447135,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,14.3.0@@140300,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/xlm-align-base'>microsoft/xlm-align-base</a>,🔍,-@@100,278045955.0,250002.0,512.0,✓,✗,73.67 ± 1.48 / 68.61 ± 3.14@@73.66626346652403,78.60 ± 1.91 / 73.04 ± 2.25@@78.59713885556553,15.41 ± 4.59 / 53.29 ± 3.93@@15.4134800714469,37.13 ± 3.07 / 32.41 ± 3.14@@37.13460272477073,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-@@100,278811651.0,251000.0,512.0,✓,✗,72.66 ± 0.82 / 60.75 ± 1.91@@72.66068344118541,66.83 ± 3.51 / 66.85 ± 3.11@@66.83441757404508,61.63 ± 1.75 / 80.19 ± 0.87@@61.62653334435439,40.33 ± 2.36 / 34.28 ± 2.17@@40.329511195500146,-@@-1,0.51 ± 1.01 / 25.34 ± 0.77@@0.5061114437945796,3.44 ± 2.38 / 27.60 ± 1.78@@3.4442040066184223,15.0.0@@150000,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000,-@@0,15.0.0.dev0@@150000,15.0.0.dev0@@150000
<a href='https://huggingface.co/microsoft/infoxlm-large'>microsoft/infoxlm-large</a>,🔍,-@@100,559893507.0,250002.0,512.0,✓,✗,75.42 ± 1.08 / 72.68 ± 3.19@@75.41780327397547,79.53 ± 2.77 / 74.53 ± 2.70@@79.52517541486901,18.44 ± 10.88 / 53.57 ± 7.20@@18.436611854437846,53.67 ± 0.81 / 48.19 ± 1.10@@53.66675281997061,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/microsoft/infoxlm-base'>microsoft/infoxlm-base</a>,🔍,-@@100,278045955.0,250002.0,512.0,✓,✗,71.48 ± 2.63 / 65.72 ± 4.78@@71.47848646168381,79.43 ± 1.07 / 74.17 ± 1.10@@79.43430462633805,7.26 ± 2.18 / 45.42 ± 4.53@@7.255962308991748,38.23 ± 1.57 / 33.72 ± 1.71@@38.22771407712508,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/sarnikowski/electra-small-discriminator-da-256-cased'>sarnikowski/electra-small-discriminator-da-256-cased</a>,🔍,-@@100,13354115.0,28995.0,512.0,✓,✗,57.93 ± 1.56 / 53.71 ± 0.61@@57.9276482402441,52.79 ± 1.21 / 48.47 ± 0.71@@52.79247978591235,14.72 ± 2.01 / 55.92 ± 1.11@@14.722011070332227,26.37 ± 0.75 / 20.54 ± 0.97@@26.372726690951993,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/stabilityai/stablelm-3b-4e1t'>stabilityai/stablelm-3b-4e1t (few-shot)</a>,🧠,-@@100,2795443200.0,50304.0,2048.0,✓,✗,2.06 ± 1.75 / 20.21 ± 0.68@@2.0648032494625093,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,9.3.2@@90302,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16 (few-shot)</a>,📝,-@@100,,,,✓,✗,78.10 ± 1.26 / 78.49 ± 1.00@@78.09536310728716,64.10 ± 3.03 / 56.61 ± 2.99@@64.10305875275635,60.11 ± 1.05 / 79.68 ± 0.68@@60.11270124754395,62.99 ± 0.69 / 53.13 ± 1.13@@62.9882040889986,65.05 ± 0.19 / 15.90 ± 0.14@@65.04779568640515,63.14 ± 0.79 / 72.28 ± 0.61@@63.139585283460306,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0
<a href='https://huggingface.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-@@100,609206403.0,128256.0,8192.0,✓,✗,52.79 ± 1.72 / 53.65 ± 1.93@@52.78931305458233,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.2.0.dev0@@150200,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://huggingface.co/merge-crew/scandi-merge'>merge-crew/scandi-merge (few-shot, val)</a>",🧠,-@@100,7241732096.0,32000.0,32768.0,✓,✓,0.00 ± 0.00 / 19.10 ± 0.91@@0.0,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,10.0.1@@100001,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/KennethTM/gpt2-small-danish'>KennethTM/gpt2-small-danish</a>,🧠,-@@100,39422208.0,50257.0,1024.0,✓,✗,8.58 ± 6.58 / 26.19 ± 3.84@@8.578262177465175,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Maltehb/aelaectra-danish-electra-small-cased'>Maltehb/aelaectra-danish-electra-small-cased</a>,🔍,-@@100,13738755.0,32000.0,128.0,✓,✗,55.68 ± 1.09 / 52.81 ± 0.44@@55.6808307144524,57.82 ± 1.40 / 54.55 ± 1.33@@57.81644570812776,19.26 ± 1.80 / 58.62 ± 1.22@@19.262502039048126,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Maltehb/aelaectra-danish-electra-small-uncased'>Maltehb/aelaectra-danish-electra-small-uncased</a>,🔍,-@@100,13738755.0,32000.0,128.0,✓,✗,57.71 ± 1.40 / 53.54 ± 0.59@@57.70541141234497,39.17 ± 4.06 / 36.74 ± 3.78@@39.166925789082256,17.10 ± 2.57 / 57.41 ± 1.03@@17.098121311119865,0.13 ± 0.12 / 0.11 ± 0.11@@0.12516185354898232,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Maltehb/danish-bert-botxo'>Maltehb/danish-bert-botxo</a>,🔍,-@@100,110619651.0,32000.0,512.0,✓,✗,57.42 ± 1.88 / 56.53 ± 1.66@@57.416066196442536,50.29 ± 1.22 / 47.15 ± 1.18@@50.29446719346793,4.94 ± 1.62 / 51.57 ± 1.19@@4.944586850093042,30.28 ± 1.18 / 24.16 ± 1.28@@30.278493774920342,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7'>MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7</a>,🔍,-@@100,278811651.0,251000.0,512.0,✓,✗,71.57 ± 1.09 / 70.18 ± 1.47@@71.5714108535732,77.52 ± 1.56 / 76.23 ± 0.91@@77.52339333371853,48.13 ± 9.69 / 73.12 ± 4.96@@48.12919724680867,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/NbAiLab/nb-bert-base'>NbAiLab/nb-bert-base</a>,🔍,-@@100,178567165.0,119547.0,512.0,✓,✗,66.31 ± 1.82 / 58.41 ± 1.53@@66.3107229989798,75.60 ± 2.17 / 74.39 ± 1.69@@75.59860724512507,47.82 ± 2.21 / 71.67 ± 1.21@@47.821465089611934,34.22 ± 0.64 / 29.42 ± 0.71@@34.216840341907655,-@@-1,1.16 ± 0.94 / 25.71 ± 0.69@@1.1593547314962935,2.23 ± 1.44 / 26.69 ± 1.08@@2.233183473974101,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NbAiLab/nb-bert-large'>NbAiLab/nb-bert-large</a>,🔍,-@@100,356191570.0,50000.0,512.0,✓,✗,74.30 ± 1.14 / 70.03 ± 2.48@@74.30261346389628,71.03 ± 1.27 / 67.74 ± 1.04@@71.03370446418418,34.23 ± 19.30 / 65.80 ± 9.96@@34.232705231554654,49.71 ± 0.91 / 43.52 ± 0.85@@49.714494472322315,-@@-1,-0.36 ± 1.22 / 24.65 ± 0.93@@-0.3569963060297474,2.53 ± 2.07 / 26.88 ± 1.57@@2.5305171976738854,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NbAiLab/nb-bert-ncc-male2female'>NbAiLab/nb-bert-ncc-male2female</a>,🔍,-@@100,177975035.0,119547.0,512.0,✓,✗,66.73 ± 1.60 / 58.51 ± 1.27@@66.72832626213604,74.22 ± 2.00 / 73.44 ± 1.48@@74.22454759209235,44.74 ± 1.61 / 68.75 ± 0.96@@44.73895206072083,31.95 ± 0.72 / 26.13 ± 0.84@@31.953070593910603,-@@-1,0.28 ± 1.07 / 25.03 ± 0.83@@0.27801065996656177,0.41 ± 0.93 / 25.32 ± 0.72@@0.40802376836321713,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NbAiLab/nb-roberta-base-ncc-plus-scandi-1e4'>NbAiLab/nb-roberta-base-ncc-plus-scandi-1e4</a>,🔍,-@@100,278295700.0,250002.0,514.0,✓,✗,74.20 ± 1.07 / 71.46 ± 3.18@@74.20215454065465,79.11 ± 1.42 / 76.64 ± 1.18@@79.111386133259,67.22 ± 2.47 / 82.37 ± 1.68@@67.22081390386869,37.79 ± 0.74 / 32.98 ± 0.77@@37.78925068039789,-@@-1,0.09 ± 1.35 / 24.85 ± 1.01@@0.08784662801708251,1.55 ± 1.66 / 26.20 ± 1.24@@1.5533235250763244,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NbAiLab/nb-roberta-base-ncc-plus-scandi-2e4'>NbAiLab/nb-roberta-base-ncc-plus-scandi-2e4</a>,🔍,-@@100,278045955.0,250002.0,514.0,✓,✗,74.18 ± 1.65 / 71.25 ± 3.23@@74.17693426245205,78.06 ± 1.36 / 75.75 ± 1.14@@78.06034656685179,67.77 ± 3.42 / 82.55 ± 1.88@@67.77339229263842,37.96 ± 0.67 / 32.93 ± 1.05@@37.96069654478542,-@@-1,0.81 ± 0.80 / 25.36 ± 0.63@@0.8077012421851962,0.77 ± 1.14 / 25.61 ± 0.85@@0.7684996071721237,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NbAiLab/nb-roberta-base-ncc'>NbAiLab/nb-roberta-base-ncc</a>,🔍,-@@100,278295700.0,250002.0,514.0,✓,✗,69.95 ± 1.11 / 66.12 ± 2.82@@69.94649583333523,77.11 ± 1.79 / 75.79 ± 1.44@@77.10501423743426,41.18 ± 11.70 / 68.38 ± 6.51@@41.181012778262804,35.88 ± 1.11 / 29.92 ± 1.25@@35.877646665535735,-@@-1,-0.23 ± 1.26 / 24.53 ± 0.99@@-0.2264227292716324,0.62 ± 0.92 / 25.48 ± 0.70@@0.6194763282292743,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NbAiLab/nb-roberta-base-scandi-1e4'>NbAiLab/nb-roberta-base-scandi-1e4</a>,🔍,-@@100,278295700.0,250002.0,514.0,✓,✗,74.31 ± 2.02 / 71.54 ± 3.58@@74.31341445391315,76.09 ± 2.35 / 74.23 ± 1.82@@76.09158059955179,68.16 ± 1.48 / 82.80 ± 1.11@@68.15590343491598,35.34 ± 1.18 / 30.57 ± 1.46@@35.33634502881134,-@@-1,-0.28 ± 0.94 / 24.29 ± 0.77@@-0.28465898320830885,0.50 ± 1.01 / 25.40 ± 0.77@@0.4975448350810129,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-small'>KennethEnevoldsen/dfm-sentence-encoder-small</a>,🔍,-@@100,21944195.0,96105.0,128.0,✓,✗,66.29 ± 1.24 / 63.15 ± 2.95@@66.28593861438188,70.41 ± 1.79 / 70.54 ± 1.53@@70.40603090198846,29.61 ± 10.36 / 62.97 ± 5.40@@29.61416493637471,16.24 ± 4.17 / 14.25 ± 3.62@@16.237534796333016,-@@-1,0.95 ± 0.98 / 25.72 ± 0.75@@0.9484778373023974,1.91 ± 0.74 / 26.44 ± 0.56@@1.9123674073490329,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,-@@0,15.3.1.dev0@@150301,15.3.1.dev0@@150301
<a href='https://huggingface.co/NbAiLab/nb-roberta-base-scandi'>NbAiLab/nb-roberta-base-scandi</a>,🔍,-@@100,278295700.0,250002.0,514.0,✓,✗,75.01 ± 1.13 / 71.67 ± 3.15@@75.01235778538651,79.38 ± 1.06 / 77.08 ± 0.86@@79.38107743434075,67.52 ± 2.89 / 82.25 ± 2.17@@67.51668114973279,36.70 ± 0.74 / 31.19 ± 0.86@@36.70454641369729,-@@-1,-0.60 ± 0.75 / 24.35 ± 0.60@@-0.6017796210343669,0.90 ± 1.39 / 25.69 ± 1.03@@0.8955495909844245,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NbAiLab/nb-sbert-base'>NbAiLab/nb-sbert-base</a>,🔍,-@@100,177855747.0,119547.0,512.0,✓,✗,71.05 ± 0.75 / 69.24 ± 2.39@@71.0490985592327,80.26 ± 1.10 / 77.87 ± 1.03@@80.25887855798626,62.49 ± 2.06 / 80.42 ± 1.54@@62.48729005698983,38.28 ± 1.45 / 33.80 ± 1.33@@38.27759080654388,-@@-1,-@@-1,-@@-1,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,-@@0,-@@0,-@@0
<a href='https://huggingface.co/NbAiLab/notram-bert-norwegian-cased-080321'>NbAiLab/notram-bert-norwegian-cased-080321</a>,🔍,-@@100,178567165.0,119547.0,512.0,✓,✗,67.11 ± 1.63 / 63.20 ± 2.35@@67.1098966153491,75.93 ± 1.96 / 74.19 ± 1.64@@75.92756826063193,53.15 ± 1.92 / 74.75 ± 1.20@@53.154214382343,37.46 ± 1.45 / 31.88 ± 1.42@@37.45913253019938,-@@-1,0.15 ± 1.12 / 25.03 ± 0.85@@0.14853695012886492,0.93 ± 1.31 / 25.71 ± 0.98@@0.9258787430379025,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/NbAiLab/roberta_jan_128_ncc'>NbAiLab/roberta_jan_128_ncc</a>,🔍,-@@100,124647939.0,50265.0,514.0,✓,✗,49.56 ± 5.95 / 50.69 ± 2.45@@49.56009563760732,56.20 ± 4.08 / 56.10 ± 4.07@@56.20231210724877,1.16 ± 2.26 / 49.47 ± 1.49@@1.156132275188423,23.81 ± 0.83 / 17.53 ± 1.22@@23.807108010067452,-@@-1,-0.83 ± 0.88 / 24.26 ± 0.68@@-0.8313834085070058,0.39 ± 1.10 / 25.31 ± 0.82@@0.39130603648246753,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/DeepPavlov/rubert-base-cased'>DeepPavlov/rubert-base-cased</a>,🔍,-@@100,177855747.0,119547.0,512.0,✓,✗,54.68 ± 2.31 / 52.79 ± 1.54@@54.682959893677804,63.07 ± 1.74 / 58.18 ± 1.69@@63.07206495729047,6.15 ± 2.42 / 49.78 ± 2.07@@6.1542886605451885,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://huggingface.co/Qwen/Qwen1.5-7B-Chat'>Qwen/Qwen1.5-7B-Chat (few-shot)</a>,📝,-@@100,7721324544.0,151936.0,32768.0,✗,✗,69.51 ± 1.97 / 72.49 ± 1.03@@69.50921551434662,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,12.10.0@@121000,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
